timestamp,open,high,low,close,volume
2023-12-04 05:00:00,131.294,131.45,129.4,130.63,24117083.0
2023-12-05 05:00:00,130.37,133.54,129.73,132.39,19225545.0
2023-12-06 05:00:00,132.9,133.31,131.31,131.43,16360648.0
2023-12-07 05:00:00,136.6,140.0,136.23,138.45,38419426.0
2023-12-08 05:00:00,135.66,137.99,135.57,136.64,23016139.0
2023-12-11 05:00:00,133.82,134.79,132.89,134.7,24502860.0
2023-12-12 05:00:00,133.27,134.54,132.83,133.64,26583981.0
2023-12-13 05:00:00,134.545,134.78,132.95,133.97,25414461.0
2023-12-14 05:00:00,134.77,135.035,131.06,133.2,29619098.0
2023-12-15 05:00:00,132.92,134.83,132.63,133.84,58494004.0
2023-12-18 05:00:00,133.86,138.38,133.77,137.19,25699767.0
2023-12-19 05:00:00,138.0,138.77,137.45,138.1,20661000.0
2023-12-20 05:00:00,140.33,143.0783,139.41,139.66,33507342.0
2023-12-21 05:00:00,140.77,142.03,140.4725,141.8,18101476.0
2023-12-22 05:00:00,142.13,143.25,142.055,142.72,18513524.0
2023-12-26 05:00:00,142.98,143.945,142.5001,142.82,11170066.0
2023-12-27 05:00:00,142.83,143.32,141.0512,141.44,17288358.0
2023-12-28 05:00:00,141.85,142.27,140.8283,141.28,12192549.0
2023-12-29 05:00:00,140.68,141.435,139.9,140.93,14880961.0
2024-01-02 05:00:00,139.6,140.6147,137.74,139.56,20071885.0
2024-01-03 05:00:00,138.6,141.09,138.43,140.36,18974308.0
2024-01-04 05:00:00,139.85,140.635,138.01,138.04,18253331.0
2024-01-05 05:00:00,138.352,138.81,136.85,137.39,15439475.0
2024-01-08 05:00:00,138.0,140.64,137.88,140.53,16545293.0
2024-01-09 05:00:00,140.06,142.7998,139.79,142.56,19579667.0
2024-01-10 05:00:00,142.52,144.525,142.46,143.8,16641881.0
2024-01-11 05:00:00,144.895,146.66,142.215,143.67,17471130.0
2024-01-12 05:00:00,144.34,144.74,143.36,144.24,13998729.0
2024-01-16 05:00:00,143.43,145.84,143.0564,144.08,19188189.0
2024-01-17 05:00:00,142.91,143.41,140.51,142.89,17884548.0
2024-01-18 05:00:00,143.44,145.585,143.35,144.99,18876800.0
2024-01-19 05:00:00,146.305,148.04,145.8,147.97,27181032.0
2024-01-22 05:00:00,148.71,150.015,147.58,147.71,21779232.0
2024-01-23 05:00:00,147.72,148.86,147.19,148.68,14113649.0
2024-01-24 05:00:00,150.29,151.57,149.84,150.35,19245031.0
2024-01-25 05:00:00,151.74,154.76,151.22,153.64,21495120.0
2024-01-26 05:00:00,152.87,154.11,152.8,153.79,19494488.0
2024-01-29 05:00:00,153.64,155.2,152.92,154.84,20909258.0
2024-01-30 05:00:00,154.01,155.04,152.775,153.05,26537134.0
2024-01-31 05:00:00,145.39,145.59,141.55,141.8,43908584.0
