timestamp,open,high,low,close,volume,vwap,trades,pre_market,after_market,dividend,split
2022-11-28 05:00:00,246.08,246.65,240.8,241.76,24810271.0,,24810271.0,246.98,241.1,,
2022-11-29 05:00:00,241.4,242.79,238.21,240.33,17956313.0,,17956313.0,243.0,240.49,,
2022-11-30 05:00:00,240.57,255.33,239.86,255.14,47594239.0,,47594239.0,241.3,255.0,,
2022-12-01 05:00:00,253.87,256.12,250.9156,254.69,26028524.0,,26028524.0,254.3,253.76,,
2022-12-02 05:00:00,249.82,256.06,249.69,255.02,21528520.0,,21528520.0,254.24,254.66,,
2022-12-05 05:00:00,252.01,253.819,248.06,250.2,23435294.0,,23435294.0,253.92,250.75,,
2022-12-06 05:00:00,250.82,251.86,243.78,245.12,22463727.0,,22463727.0,250.83,245.15,,
2022-12-07 05:00:00,244.83,246.16,242.205,244.37,20479222.0,,20479222.0,245.44,243.99,,
2022-12-08 05:00:00,244.84,248.74,243.06,247.4,22611757.0,,22611757.0,244.53,246.4,,
2022-12-09 05:00:00,244.695,248.31,244.16,245.42,20609743.0,,20609743.0,247.7,245.0,,
2022-12-12 05:00:00,247.445,252.54,247.17,252.51,30665069.0,,30665069.0,245.17,252.81,,
2022-12-13 05:00:00,261.69,263.915,253.07,256.92,42192634.0,,42192634.0,252.52,257.76,,
2022-12-14 05:00:00,257.13,262.588,254.31,257.22,35376633.0,,35376633.0,257.14,258.27,,
2022-12-15 05:00:00,253.72,254.2,247.34,249.01,35568093.0,,35568093.0,255.71,249.2999,,
2022-12-16 05:00:00,248.55,249.84,243.51,244.69,86101994.0,,86101994.0,246.88,245.19,,
2022-12-19 05:00:00,244.86,245.21,238.71,240.45,29696436.0,,29696436.0,246.82,241.36,,
2022-12-20 05:00:00,239.4,242.91,238.42,241.8,25115802.0,,25115802.0,240.45,242.75,,
2022-12-21 05:00:00,241.69,245.615,240.11,244.43,23690607.0,,23690607.0,243.0,244.49,,
2022-12-22 05:00:00,241.255,241.99,233.87,238.19,28651664.0,,28651664.0,244.85,237.0,,
2022-12-23 05:00:00,236.11,238.87,233.9428,238.73,21206982.0,,21206982.0,237.87,238.23,,
2022-12-27 05:00:00,238.7,238.93,235.83,236.96,16688648.0,,16688648.0,240.8,236.6,,
2022-12-28 05:00:00,236.89,239.72,234.17,234.53,17457104.0,,17457104.0,236.4,234.61,,
2022-12-29 05:00:00,235.65,241.92,235.65,241.01,19770693.0,,19770693.0,235.8,240.42,,
2022-12-30 05:00:00,238.21,239.96,236.66,239.82,21938472.0,,21938472.0,240.0,240.2,,
2023-01-03 05:00:00,243.08,245.75,237.4,239.58,25740036.0,,25740036.0,240.99,240.87,,
2023-01-04 05:00:00,232.275,232.87,225.96,229.1,50623394.0,,50623394.0,236.98,228.0,,
2023-01-05 05:00:00,227.2,227.55,221.7602,222.31,39577823.0,,39577823.0,227.8,222.46,,
2023-01-06 05:00:00,223.0,225.7601,219.35,224.93,43613574.0,,43613574.0,222.47,225.04,,
2023-01-09 05:00:00,226.45,231.2366,226.41,227.12,27369784.0,,27369784.0,225.16,226.16,,
2023-01-10 05:00:00,227.755,231.31,227.33,228.85,27033881.0,,27033881.0,227.18,229.2,,
2023-01-11 05:00:00,231.29,235.95,231.11,235.77,28633081.0,,28633081.0,229.2,235.5,,
2023-01-12 05:00:00,235.26,239.9,233.56,238.51,27269486.0,,27269486.0,235.78,238.6,,
2023-01-13 05:00:00,237.002,239.37,234.92,239.23,21333265.0,,21333265.0,238.65,239.25,,
2023-01-17 05:00:00,237.97,240.91,237.09,240.35,29831257.0,,29831257.0,239.18,239.65,,
2023-01-18 05:00:00,241.565,242.38,235.52,235.81,30028692.0,,30028692.0,240.41,235.17,,
2023-01-19 05:00:00,233.78,235.52,230.68,231.93,28592433.0,,28592433.0,235.33,232.38,,
2023-01-20 05:00:00,234.855,240.74,234.51,240.22,35249809.0,,35249809.0,232.46,240.4,,
2023-01-23 05:00:00,241.1,245.165,239.65,242.58,31933951.0,,31933951.0,240.5,242.6,,
2023-01-24 05:00:00,242.5,243.95,240.44,242.04,40218444.0,,40218444.0,243.23,239.6,,
2023-01-25 05:00:00,234.48,243.3,230.9,240.61,66526641.0,,66526641.0,238.9,241.2,,
2023-01-26 05:00:00,243.65,248.31,242.0,248.0,33454491.0,,33454491.0,240.6,247.4,,
2023-01-27 05:00:00,248.99,249.83,246.83,248.16,26498939.0,,26498939.0,246.87,248.13,,
2023-01-30 05:00:00,244.51,245.6,242.2,242.71,25867365.0,,25867365.0,246.0,243.3,,
